set_number,name,year_released,number_of_parts,image_url,theme_name
M20-2140-100,Modulex Box - 100x Tile 1 x 4,1963,100,https://cdn.rebrickable.com/media/sets/m20-2140-100.jpg,Modulex
M20-2141-100,Modulex Box - 100x Brick 1 x 4,1963,100,https://cdn.rebrickable.com/media/sets/m20-2141-100.jpg,Modulex
M20-2142-100,Modulex Box - 100x Brick 2 x 4,1963,100,https://cdn.rebrickable.com/media/sets/m20-2142-100.jpg,Modulex
M20-2211-100,Modulex Box - 100x Slope 1 x 1,1963,100,https://cdn.rebrickable.com/media/sets/m20-2211-100.jpg,Modulex
M20-2221-100,Modulex Box - 100x Slope 1 x 2,1963,100,https://cdn.rebrickable.com/media/sets/m20-2221-100.jpg,Modulex
M20-2231-100,Modulex Box - 100x Slope 1 x 3,1963,100,https://cdn.rebrickable.com/media/sets/m20-2231-100.jpg,Modulex
M20-2314-100,Modulex Box - 100x Brick 1 x 1 x 4 with Vertical Grooves,1963,100,https://cdn.rebrickable.com/media/sets/m20-2314-100.jpg,Modulex
M20-2315-100,Modulex Box - 100x Brick 1 x 1 x 5 with Vertical Grooves,1963,100,https://cdn.rebrickable.com/media/sets/m20-2315-100.jpg,Modulex
M20-2341-100,Modulex Box - 100x Brick 1 x 4 with Horizontal Grooves,1963,100,https://cdn.rebrickable.com/media/sets/m20-2341-100.jpg,Modulex
M20-2351-100,Modulex Box - 100x Brick 1 x 5 with Horizontal Grooves,1963,100,https://cdn.rebrickable.com/media/sets/m20-2351-100.jpg,Modulex
M20-2361-100,Modulex Box - 100x Brick 1 x 6 with Horizontal Grooves,1963,100,https://cdn.rebrickable.com/media/sets/m20-2361-100.jpg,Modulex
M20-2371-100,Modulex Box - 100x Brick 1 x 7 with Horizontal Grooves,1963,100,https://cdn.rebrickable.com/media/sets/m20-2371-100.jpg,Modulex
317-1,Truck,1963,125,https://cdn.rebrickable.com/media/sets/317-1.jpg,Vehicle
318-1,Windmill Set,1963,153,https://cdn.rebrickable.com/media/sets/318-1.jpg,Building
M20-2261-100,"Modulex Box - 100x Slope 1 x 4, Slope 1 x 2 - 1:6",1963,200,https://cdn.rebrickable.com/media/sets/m20-2261-100.jpg,Modulex
905-1,Doll Set,1963,266,https://cdn.rebrickable.com/media/sets/905-1.jpg,System
LEGO-Modulex-1,Unused Modulex parts sold by LEGO,1963,276,https://cdn.rebrickable.com/media/sets/lego-modulex-1.jpg,Database Sets
472-1,1:87 Nine Models,1964,0,https://cdn.rebrickable.com/media/sets/472-1.jpg,HO 1:87 Vehicles
658-2,1:87 VW Van,1964,0,https://cdn.rebrickable.com/media/sets/658-2.jpg,HO 1:87 Vehicles
238-8,System: Ideas Book No. 3,1964,0,https://cdn.rebrickable.com/media/sets/238-8.jpg,Books
238-9,System: Idea Book,1964,0,https://cdn.rebrickable.com/media/sets/238-9.jpg,Books
650-2,1:87 Mercedes Esso Tanker,1964,1,https://cdn.rebrickable.com/media/sets/650-2.jpg,HO 1:87 Vehicles
651-2,1:87 Mercedes Truck,1964,1,https://cdn.rebrickable.com/media/sets/651-2.jpg,HO 1:87 Vehicles
